name,category,t0_role,t0_age,t0_sex,final_state,resolution_state,target_role,scope_score,sector,evidence_date,match,confidence
김연아,자유로운 창조인,피겨스케이팅 선수,20,여,resolved,,은퇴한 올림픽 챔피언·유니세프 국제친선대사,2,sports_civic,2020-03-16,exact_year,H
김윤진,자유로운 창조인,영화배우,37,여,resolved,,영화배우; 영화 담보 출연 및 자백 촬영,2,film,2020,exact_year_confirmed_by_contemporaneous_and_later_sources,M
김현수,자유로운 창조인,두산베어스 외야수,22,남,resolved,,LG 트윈스 주전 외야수·중심타자,2,sports_baseball,2020-05-05,exact_year,H
노희경,자유로운 창조인,작가,44,여,resolved,,드라마 작가; 신작 HERE 집필·제작 준비,2,television_writing,2020-07-07,exact_year,H
박민규,자유로운 창조인,소설가,42,남,resolved,,소설가,2,literature,2020-12-31,exact_year,M
박성훈,자유로운 창조인,롯데호텔 피에르가니에르 조리장,20,남,unresolved,active_role_unresolved,,,culinary,,pending_identity_and_2019_2021_evidence,
박진영,자유로운 창조인,가수 겸 프로듀서,38,남,resolved,,JYP엔터테인먼트 대표 프로듀서·가수·작곡가,3,music_industry,2020-10-06,exact_year,H
봉준호,자유로운 창조인,영화감독,41,남,resolved,,영화감독; 기생충으로 아카데미 감독상 및 작품상 등 4관왕,4,film,2020-02-10,exact_year,H
서도호,자유로운 창조인,설치미술가,48,남,resolved,,서울·뉴욕·런던을 기반으로 활동하는 국제 설치미술가,3,visual_art,2020-09-28,exact_year,M
신경숙,자유로운 창조인,소설가,47,여,resolved,,소설가; 장편 아버지에게 갔었어 연재로 창작 활동 재개,2,literature,2020-06-23,exact_year,H
신지애,자유로운 창조인,프로골퍼,22,여,resolved,,JLPGA 투어 프로골퍼; 2020 후지쓰 레이디스 우승,3,sports_golf,2020-10-18,exact_year,H
심승현,자유로운 창조인,만화가,39,남,unresolved,no_active_public_role_evidence_in_window,,,comics_illustration,,pending_reliable_2019_2021_evidence,
양성원,자유로운 창조인,"연세대 음대 교수, 첼리스트",43,남,resolved,,첼리스트·연세대 음대 교수,2,classical_music_academia,2021-09-27,nearest_within_window,H
이청용,자유로운 창조인,영국 볼턴 원더러스 FC 선수,22,남,resolved,,울산 현대 프로축구 선수; 유럽 생활 후 K리그 복귀,2,sports_football,2020-03-05,exact_year,H
장한나,자유로운 창조인,첼리스트 겸 지휘자,28,여,resolved,,Trondheim Symphony Orchestra & Opera 수석지휘자·예술리더,3,classical_music_conducting,2020,exact_year_by_official_tenure,H
정연두,자유로운 창조인,현대미술 작가,41,남,resolved,,미디어·사진·설치미술가; 2020 개인전 및 외교부 VR 전시 참여,2,visual_art,2020-12-14,exact_year,H
정욱준,자유로운 창조인,패션디자이너,43,남,resolved,,삼성물산 패션부문 JUUN.J 크리에이티브 디렉터·상무; 파리패션위크 참가,3,fashion,2020-07-14,exact_year,H
조성진,자유로운 창조인,서울예술고 1학년·피아니스트,16,남,resolved,,국제 활동 피아니스트; 2020 전국 리사이틀 및 음반 활동,3,classical_music,2020-11-05,exact_year,H
