placement_id,person_id,identity_key,legacy_person_id_v0_2,name,outlet,selection_date,selection_year,cohort_unit,list_title,design,selection_mechanism,domain,rank,rank_known,selection_score,selection_score_type,series_order,target_horizon,baseline_peak_through_t0,post_t0_peak_score,outcome_assessable,advancement_delta,advancement_class,major_ge3,apex_eq4,death_truncated,source_schema
pl-3e031b4078009e,ko-f227d7e44af7,정동영,ko-f227d7e44af7,정동영,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,1.0,True,,,,,2,4,True,2,advanced,True,True,False,newsmaker_2003_outcomes_v0_3
pl-628d9827d56a6b,ko-f1f4f967e0b0,김근태,ko-f1f4f967e0b0,김근태,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,2.0,True,,,,,2,3,True,1,advanced,True,False,False,newsmaker_2003_outcomes_v0_3
pl-fcd14963103b7a,ko-70225bb82f98,손학규,ko-70225bb82f98,손학규,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,3.0,True,,,,,3,3,True,0,sustained_high,True,False,False,newsmaker_2003_outcomes_v0_3
pl-934e18747a1ad1,ko-241873e69979,유시민,ko-241873e69979,유시민,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,4.0,True,,,,,2,3,True,1,advanced,True,False,False,newsmaker_2003_outcomes_v0_3
pl-1348af506a148c,ko-111ad6219899,강금실,ko-111ad6219899,강금실,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,5.0,True,,,,,3,3,True,0,sustained_high,True,False,False,newsmaker_2003_outcomes_v0_3
pl-cf57637b2f5423,ko-dbb9e72858b2,추미애,ko-dbb9e72858b2,추미애,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,6.5,True,,,,,2,3,True,1,advanced,True,False,False,newsmaker_2003_outcomes_v0_3
pl-04503fe9bcf292,ko-5dd7ad44449e,권영길,ko-5dd7ad44449e,권영길,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,6.5,True,,,,,4,4,True,0,sustained_high,True,True,False,newsmaker_2003_outcomes_v0_3
pl-21f63d53d65d37,ko-42420bd89139,이부영,ko-42420bd89139,이부영,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,8.0,True,,,,,2,3,True,1,advanced,True,False,False,newsmaker_2003_outcomes_v0_3
pl-2b4346f2dcd58c,ko-6cd22bfd1967,천정배,ko-6cd22bfd1967,천정배,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,9.5,True,,,,,2,3,True,1,advanced,True,False,False,newsmaker_2003_outcomes_v0_3
pl-599aac22c47455,ko-d5731511b6b2,강재섭,ko-d5731511b6b2,강재섭,뉴스메이커,2003-05-30,2003,newsmaker_2003_politics_top10,차세대 리더 정치·경제,ranked_topN,expert_survey,politics,9.5,True,,,,,2,3,True,1,advanced,True,False,False,newsmaker_2003_outcomes_v0_3
pl-3a864a15d981a6,ko-fa3db6d9c9c0,안철수,ko-fa3db6d9c9c0,안철수,뉴스메이커,2003-05-30,2003,newsmaker_2003_economy_top5,차세대 리더 정치·경제,ranked_topN,expert_survey,economy,1.0,True,,,,,2,4,True,2,advanced,True,True,False,newsmaker_2003_outcomes_v0_3
pl-79e3a327251587,ko-99dbcd18c322,장하성,ko-99dbcd18c322,장하성,뉴스메이커,2003-05-30,2003,newsmaker_2003_economy_top5,차세대 리더 정치·경제,ranked_topN,expert_survey,economy,2.0,True,,,,,2,4,True,2,advanced,True,True,False,newsmaker_2003_outcomes_v0_3
pl-f4c7a67960e5e2,ko-fc14bfc937bd,강철규,ko-fc14bfc937bd,강철규,뉴스메이커,2003-05-30,2003,newsmaker_2003_economy_top5,차세대 리더 정치·경제,ranked_topN,expert_survey,economy,3.0,True,,,,,3,3,True,0,sustained_high,True,False,False,newsmaker_2003_outcomes_v0_3
pl-b04e91e81c6627,ko-2f2eacc1442e,정운찬,ko-2f2eacc1442e,정운찬,뉴스메이커,2003-05-30,2003,newsmaker_2003_economy_top5,차세대 리더 정치·경제,ranked_topN,expert_survey,economy,4.0,True,,,,,3,4,True,1,advanced,True,True,False,newsmaker_2003_outcomes_v0_3
pl-74eef37011f603,ko-39a0579cceac,이재용,ko-39a0579cceac,이재용,뉴스메이커,2003-05-30,2003,newsmaker_2003_economy_top5,차세대 리더 정치·경제,ranked_topN,expert_survey,economy,5.0,True,,,,,2,4,True,2,advanced,True,True,False,newsmaker_2003_outcomes_v0_3
pl-24536a05b91818,ko-8c3acdfa3c4b,고건,ko-8c3acdfa3c4b,고건,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,1,True,,,,,4,3,True,-1,lower_than_baseline,True,False,False,h21_2004_outcomes_v0_1
pl-d5068b57b5b058,ko-111ad6219899,강금실,ko-111ad6219899,강금실,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,2,True,,,,,3,3,True,0,sustained_high,True,False,False,h21_2004_outcomes_v0_1
pl-2cfd1e223c9276,ko-1515dbd67779,박근혜,ko-1515dbd67779,박근혜,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,3,True,,,,,3,4,True,1,advanced,True,True,False,h21_2004_outcomes_v0_1
pl-4f8b961899e99f,ko-294289cf76ed,이회창,ko-294289cf76ed,이회창,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,4,True,,,,,4,4,True,0,sustained_high,True,True,False,h21_2004_outcomes_v0_1
pl-564d18e4ffa64b,ko-409d25902dc5,정몽준,ko-409d25902dc5,정몽준,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,5,True,,,,,4,3,True,-1,lower_than_baseline,True,False,False,h21_2004_outcomes_v0_1
pl-0f4cb14dab98a0,ko-f227d7e44af7,정동영,ko-f227d7e44af7,정동영,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,6,True,,,,,3,4,True,1,advanced,True,True,False,h21_2004_outcomes_v0_1
pl-b0ccaa84898e66,ko-5dd7ad44449e,권영길,ko-5dd7ad44449e,권영길,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,7,True,,,,,4,4,True,0,sustained_high,True,True,False,h21_2004_outcomes_v0_1
pl-a59b89524b6c0d,ko-8948193c3193,이명박,ko-8948193c3193,이명박,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,8,True,,,,,3,4,True,1,advanced,True,True,False,h21_2004_outcomes_v0_1
pl-1bc5ee1fa28e3b,ko-dbb9e72858b2,추미애,ko-dbb9e72858b2,추미애,한겨레21,2004-09-20,2004,h21_2004_politics_top10,차세대 리더 여론조사 Top10,ranked_topN,public_opinion_survey,politics,9,True,,,,,2,3,True,1,advanced,True,False,False,h21_2004_outcomes_v0_1
